population,edge_ids,@source_node,@target_node,efferent_section_id,efferent_surface_z,afferent_center_y,efferent_center_z,efferent_segment_id,afferent_surface_z,afferent_segment_id,afferent_center_z,efferent_surface_x,efferent_section_type,efferent_segment_offset,afferent_center_x,afferent_section_type,afferent_section_id,afferent_section_pos,afferent_surface_y,afferent_segment_offset,efferent_surface_y,afferent_surface_x,efferent_center_y,efferent_section_pos,efferent_center_x
V1_neurons__V1_neurons__chemical_synapse,2997949,49867,2636,611,8443.507,878.305,8443.3545,12,8445.258,23,8445.369,9164.233,2,0.7298292,9165.438,3,588,0.532177,878.27405,1.065648,877.7732,9165.366,877.7313,0.607445,9164.127
V1_neurons__V1_neurons__chemical_synapse,2997950,49867,2636,662,8439.403,895.098,8439.439,2,8439.143,42,8439.036,9161.088,2,0.48783085,9161.395,3,588,0.96861184,895.12555,0.6093966,895.2062,9161.314,895.23755,0.38770303,9161.084
V1_neurons__V1_neurons__chemical_synapse,2997951,49867,2636,750,8441.178,836.3704,8441.2,14,8440.861,11,8440.768,9153.882,2,0.34627295,9154.67,3,635,0.644937,836.34326,0.24877232,836.28,9154.483,836.27466,0.703099,9153.84
V1_neurons__V1_neurons__chemical_synapse,2997952,49867,2636,812,8440.611,895.9843,8440.657,9,8438.983,43,8438.852,9161.021,2,0.29756305,9161.415,3,588,0.9894724,896.00183,0.44282654,896.2364,9161.387,896.2475,0.1970197,9161.029
V1_neurons__V1_neurons__chemical_synapse,2997953,49867,2636,855,8438.207,892.91815,8438.161,6,8439.434,40,8439.564,9161.518,2,1.1186928,9161.762,3,588,0.9156942,892.8904,0.50522625,892.66736,9161.74,892.65857,0.85999405,9161.507
V1_neurons__V1_neurons__chemical_synapse,2997954,49867,2636,856,8437.793,892.4824,8437.749,0,8439.494,40,8439.614,9162.947,2,0.3092603,9162.013,3,588,0.9041451,892.50275,0.0,892.7553,9162.072,892.7743,0.012235175,9162.947
V1_neurons__V1_neurons__chemical_synapse,2997955,49867,2636,856,8441.106,880.484,8441.111,13,8440.285,25,8440.239,9175.42,2,1.0096575,9173.716,3,587,0.9782872,880.4317,0.34597003,879.467,9173.808,879.4773,0.8321176,9175.466
V1_neurons__V1_neurons__chemical_synapse,2997956,49867,2636,857,8439.575,891.06866,8439.562,4,8439.883,38,8439.918,9163.757,2,0.25464466,9162.465,3,588,0.86938137,891.0803,0.3853882,891.1604,9162.596,891.16486,0.3134553,9163.803
V1_neurons__V1_neurons__chemical_synapse,2998147,119069,2636,215,8441.154,895.0212,8441.25,63,8439.189,42,8439.06,9161.137,2,0.7037775,9161.399,3,588,0.96677387,895.0596,0.5289901,895.65405,9161.384,895.6885,0.98342896,9161.13
V1_neurons__V1_neurons__chemical_synapse,35677810,2636,16297,7,8471.791,862.8754,8471.808,52,8471.509,16,8471.477,9160.745,2,0.4611357,9159.118,4,231,0.1567121,862.7922,0.6409625,862.07794,9159.303,862.0333,0.5071443,9160.836
V1_neurons__V1_neurons__chemical_synapse,35677811,2636,16297,11,8487.495,858.852,8487.561,95,8486.973,50,8486.876,9177.949,2,0.0071149645,9178.457,4,212,0.37186864,858.844,0.5876874,858.88025,9178.384,858.8701,0.8634235,9177.872
V1_neurons__V1_neurons__chemical_synapse,35677812,2636,16297,32,8476.372,857.3539,8476.333,50,8476.933,7,8476.977,9181.253,2,0.009247627,9179.977,4,215,0.48522264,857.3947,0.66355,857.8947,9180.06,857.9323,0.6184415,9181.339
V1_neurons__V1_neurons__chemical_synapse,35677813,2636,16297,55,8487.566,851.79205,8487.508,34,8488.671,25,8488.761,9166.48,2,0.022167947,9165.369,4,211,0.35664588,851.7805,0.59586453,851.5805,9165.447,851.57404,0.38911402,9166.537
V1_neurons__V1_neurons__chemical_synapse,35677814,2636,16297,55,8484.444,841.8176,8484.405,52,8485.561,19,8485.618,9163.361,2,0.12518455,9161.495,4,209,0.16232273,841.79926,0.65252656,841.3887,9161.584,841.37976,0.6492119,9163.433
V1_neurons__V1_neurons__chemical_synapse,35677815,2636,16297,58,8486.983,859.8693,8487.035,5,8486.453,49,8486.3545,9177.895,2,0.3671199,9177.85,4,212,0.36159712,859.939,0.33722976,860.30664,9177.864,860.38184,0.32857758,9177.94
V1_neurons__V1_neurons__chemical_synapse,35677816,2636,16297,59,8477.685,857.22797,8477.758,13,8477.122,7,8477.077,9179.001,2,0.24963035,9180.092,4,215,0.49992007,857.1875,0.8616934,856.62213,9180.009,856.59674,0.73062885,9178.935
V1_neurons__V1_neurons__chemical_synapse,35677817,2636,16297,63,8484.084,850.829,8484.018,11,8484.58,8,8484.651,9190.317,2,0.1820429,9189.699,4,217,0.14763625,850.8197,0.21573484,850.72766,9189.772,850.71643,0.04026651,9190.395
V1_neurons__V1_neurons__chemical_synapse,35677818,2636,16297,63,8492.263,861.6228,8492.351,42,8490.302,25,8490.213,9205.084,2,0.33347872,9205.125,4,216,0.53157157,861.5712,0.63205606,860.4357,9205.123,860.38403,0.1699731,9205.082
V1_neurons__V1_neurons__chemical_synapse,35677819,2636,16297,65,8495.064,825.6619,8495.144,26,8493.402,14,8493.199,9190.848,2,0.7242923,9192.645,4,221,0.43339998,825.69354,0.02161336,825.99457,9192.455,825.9917,0.7834124,9190.782
V1_neurons__V1_neurons__chemical_synapse,35677820,2636,16297,144,8478.487,855.1817,8478.509,36,8479.103,11,8479.138,9181.549,2,0.008109868,9182.165,4,215,0.7703476,855.092,0.004871885,853.63666,9182.13,853.53845,0.5081754,9181.547
V1_neurons__V1_neurons__chemical_synapse,35677821,2636,16297,144,8483.959,853.9967,8484.011,47,8482.115,1,8482.024,9184.789,2,0.67805684,9185.336,4,217,0.027952347,854.03723,0.27392793,854.901,9185.31,854.9274,0.67660916,9184.707
V1_neurons__V1_neurons__chemical_synapse,35677822,2636,16297,224,8463.352,871.671,8463.289,161,8465.059,5,8465.456,9163.31,2,0.036465816,9161.434,4,214,0.21219765,871.904,0.78011066,872.9081,9161.788,872.93616,0.9013975,9163.386
V1_neurons__V1_neurons__chemical_synapse,35677823,2636,16297,242,8505.853,835.28064,8505.931,10,8504.837,43,8504.746,9206.95,2,0.63535416,9207.204,4,217,0.798825,835.317,1.327877,835.66394,9207.174,835.6702,0.23953216,9206.885
V1_neurons__V1_neurons__chemical_synapse,35677824,2636,16297,242,8509.969,837.905,8509.894,23,8510.16,96,8510.176,9209.788,2,0.12522124,9208.225,4,212,0.730299,837.9988,1.0151608,839.74286,9208.3,839.78613,0.4945907,9209.842
V1_neurons__V1_neurons__chemical_synapse,35677825,2636,16297,285,8506.999,839.20764,8507.025,10,8507.804,93,8507.849,9205.709,2,0.39686182,9206.247,4,212,0.70329905,839.09753,1.2631422,837.30884,9206.223,837.25073,0.12646794,9205.789
V1_neurons__V1_neurons__chemical_synapse,35677826,2636,16297,490,8497.713,850.83887,8497.783,25,8497.033,70,8496.9375,9191.653,2,0.52360487,9191.439,4,212,0.52116853,850.90405,0.040290117,851.4005,9191.475,851.4697,0.3498013,9191.68
V1_neurons__V1_neurons__chemical_synapse,35677827,2636,16297,506,8484.534,856.65,8484.445,51,8485.523,14,8485.609,9196.636,2,0.07558285,9195.863,4,216,0.28373304,856.6518,0.19038841,856.70337,9195.919,856.7118,0.32913262,9196.686
V1_neurons__V1_neurons__chemical_synapse,35679162,19473,16297,107,8407.944,945.67847,8408.028,13,8407.256,10,8407.159,9139.442,2,2.2623305,9137.766,3,135,0.23397198,945.6713,0.23014176,945.69446,9137.95,945.667,0.54174244,9139.493
V1_neurons__V1_neurons__chemical_synapse,35679163,19473,16297,107,8410.359,941.82495,8410.433,15,8408.74,4,8408.594,9134.54,2,3.0058055,9134.368,3,133,0.09734335,941.96173,0.13394737,943.513,9134.383,943.5837,0.66044855,9134.548
V1_neurons__V1_neurons__chemical_synapse,35679164,19473,16297,107,8419.17,936.8755,8419.193,24,8420.033,9,8420.104,9122.357,2,1.4116638,9120.284,3,160,0.29323316,936.88354,0.6341606,937.0929,9120.456,937.0268,0.9914182,9122.432
